condition,attack_success_rate,safe_completion_rate,unauthorized_tool_call_rate,sensitive_information_exposure_rate,task_completion_rate,blocked_call_rate,system_prompt_leak_rate,injection_delivery_rate,error_rate,attack_success_rate_n,safe_completion_rate_n,unauthorized_tool_call_rate_n,sensitive_information_exposure_rate_n,task_completion_rate_n,blocked_call_rate_n,system_prompt_leak_rate_n,injection_delivery_rate_n,error_rate_n
mock-gullible-v1 | defenses=none | tools=minimal,0.34444444444444444,0.6555555555555556,0.2777777777777778,0.37333333333333335,1.0,0.0,0.08888888888888889,0.92,0.0,90,90,90,75,90,90,90,75,90
mock-gullible-v1 | defenses=sanitization+separation+authorization+confirmation+output_validation | tools=minimal,0.0,1.0,0.05555555555555555,0.0,1.0,0.05555555555555555,0.0,0.56,0.0,90,90,90,75,90,90,90,75,90
